ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
chr20|-|49557641|49557746|49557665|49557746|49552684|49552799	"ENSG00000000419.12_2"	"DPM1"	chr20	-	49557641	49557746	49557665	49557746	49552684	49552799
chr20|-|49557641|49557746|49557665|49557746|49557401|49557470	"ENSG00000000419.12_2"	"DPM1"	chr20	-	49557641	49557746	49557665	49557746	49557401	49557470
chr20|-|49557641|49557746|49557665|49557746|49557401|49557492	"ENSG00000000419.12_2"	"DPM1"	chr20	-	49557641	49557746	49557665	49557746	49557401	49557492
chr1|+|169819405|169819486|169819405|169819468|169819594|169819707	"ENSG00000000460.16_3"	"C1orf112"	chr1	+	169819405	169819486	169819405	169819468	169819594	169819707
chr1|+|196709748|196711181|196709748|196709922|196712581|196712758	"ENSG00000000971.15_2"	"CFH"	chr1	+	196709748	196711181	196709748	196709922	196712581	196712758
chr1|+|196709748|196711181|196709748|196709922|196716240|196716634	"ENSG00000000971.15_2"	"CFH"	chr1	+	196709748	196711181	196709748	196709922	196716240	196716634
chr1|-|24710356|24710493|24710391|24710493|24706142|24706313	"ENSG00000001460.17_2"	"STPG1"	chr1	-	24710356	24710493	24710391	24710493	24706142	24706313
chrX|-|64740581|64743587|64743439|64743587|64732462|64732781	"ENSG00000001497.16_2"	"LAS1L"	chrX	-	64740581	64743587	64743439	64743587	64732462	64732781
chrX|-|64740581|64743587|64743439|64743587|64734702|64734853	"ENSG00000001497.16_2"	"LAS1L"	chrX	-	64740581	64743587	64743439	64743587	64734702	64734853
chrX|-|64740581|64743587|64743439|64743587|64737866|64738345	"ENSG00000001497.16_2"	"LAS1L"	chrX	-	64740581	64743587	64743439	64743587	64737866	64738345
chr3|+|50220852|50220997|50220852|50220996|50222024|50222247	"ENSG00000001617.11_2"	"SEMA3F"	chr3	+	50220852	50220997	50220852	50220996	50222024	50222247
chr7|-|91864716|91865856|91865726|91865856|91855839|91855996	"ENSG00000001631.15_3"	"KRIT1"	chr7	-	91864716	91865856	91865726	91865856	91855839	91855996
chr7|-|91864716|91865856|91865726|91865856|91863762|91863906	"ENSG00000001631.15_3"	"KRIT1"	chr7	-	91864716	91865856	91865726	91865856	91863762	91863906
chr7|-|91864716|91865856|91865726|91865856|91864121|91864237	"ENSG00000001631.15_3"	"KRIT1"	chr7	-	91864716	91865856	91865726	91865856	91864121	91864237
chr7|-|91874778|91875414|91875219|91875414|91873315|91873463	"ENSG00000001631.15_3"	"KRIT1"	chr7	-	91874778	91875414	91875219	91875414	91873315	91873463
chr7|-|91875103|91875228|91875157|91875228|91871347|91871451	"ENSG00000001631.15_3"	"KRIT1"	chr7	-	91875103	91875228	91875157	91875228	91871347	91871451
chr7|-|91875103|91875228|91875157|91875228|91874215|91874485	"ENSG00000001631.15_3"	"KRIT1"	chr7	-	91875103	91875228	91875157	91875228	91874215	91874485
chr12|-|1023576|1023698|1023596|1023698|1023059|1023287	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1023576	1023698	1023596	1023698	1023059	1023287
chr12|-|1025509|1025986|1025804|1025986|1023059|1023287	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1025509	1025986	1025804	1025986	1023059	1023287
chr12|-|1025509|1025986|1025804|1025986|1023596|1023698	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1025509	1025986	1025804	1025986	1023596	1023698
chr12|-|1035961|1036429|1036310|1036429|1025804|1025986	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1035961	1036429	1036310	1036429	1025804	1025986
chr12|-|1035961|1036429|1036310|1036429|1034615|1034691	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1035961	1036429	1036310	1036429	1034615	1034691
chr12|-|1038929|1039052|1038984|1039052|1025804|1025986	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1038929	1039052	1038984	1039052	1025804	1025986
chr12|-|1038929|1039052|1038984|1039052|1034615|1034691	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1038929	1039052	1038984	1039052	1034615	1034691
chr12|-|1038929|1039052|1038984|1039052|1035961|1036112	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1038929	1039052	1038984	1039052	1035961	1036112
chr12|-|1038929|1039052|1038984|1039052|1036310|1036429	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1038929	1039052	1038984	1039052	1036310	1036429
chr12|-|1038929|1039310|1039216|1039310|1025804|1025986	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1038929	1039310	1039216	1039310	1025804	1025986
chr12|-|1038929|1039310|1039216|1039310|1034615|1034691	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1038929	1039310	1039216	1039310	1034615	1034691
chr12|-|1038929|1039310|1039216|1039310|1036310|1036429	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1038929	1039310	1039216	1039310	1036310	1036429
chr12|-|1038984|1039310|1039216|1039310|1025804|1025986	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1038984	1039310	1039216	1039310	1025804	1025986
chr12|-|1038984|1039310|1039216|1039310|1034615|1034691	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1038984	1039310	1039216	1039310	1034615	1034691
chr12|-|1038984|1039310|1039216|1039310|1035961|1036112	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1038984	1039310	1039216	1039310	1035961	1036112
chr12|-|1038984|1039310|1039216|1039310|1036310|1036429	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1038984	1039310	1039216	1039310	1036310	1036429
chr12|-|1039138|1039310|1039216|1039310|1038984|1039052	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1039138	1039310	1039216	1039310	1038984	1039052
chr12|-|1058767|1058831|1058771|1058831|1025804|1025986	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1058767	1058831	1058771	1058831	1025804	1025986
chr12|-|1058767|1058831|1058771|1058831|1042140|1042242	"ENSG00000002016.17_3"	"RAD52"	chr12	-	1058767	1058831	1058771	1058831	1042140	1042242
chr7|-|2258966|2259091|2258987|2259091|2257596|2257678	"ENSG00000002822.15_3"	"MAD1L1"	chr7	-	2258966	2259091	2258987	2259091	2257596	2257678
chr17|+|37071295|37071399|37071295|37071394|37074857|37078023	"ENSG00000002834.17_3"	"LASP1"	chr17	+	37071295	37071399	37071295	37071394	37074857	37078023
chr17|+|46184910|46185200|46184910|46184958|46190662|46190763	"ENSG00000002919.14_2"	"SNX11"	chr17	+	46184910	46185200	46184910	46184958	46190662	46190763
chr17|+|46184910|46185200|46184910|46184958|46196065|46196161	"ENSG00000002919.14_2"	"SNX11"	chr17	+	46184910	46185200	46184910	46184958	46196065	46196161
chr17|+|46189392|46189473|46189392|46189447|46189935|46190022	"ENSG00000002919.14_2"	"SNX11"	chr17	+	46189392	46189473	46189392	46189447	46189935	46190022
chr17|+|46189392|46189473|46189392|46189447|46190662|46190763	"ENSG00000002919.14_2"	"SNX11"	chr17	+	46189392	46189473	46189392	46189447	46190662	46190763
chr7|+|150498623|150499413|150498623|150498812|150500487|150500544	"ENSG00000002933.7_3"	"TMEM176A"	chr7	+	150498623	150499413	150498623	150498812	150500487	150500544
chr7|+|150501449|150501573|150501449|150501560|150501914|150502206	"ENSG00000002933.7_3"	"TMEM176A"	chr7	+	150501449	150501573	150501449	150501560	150501914	150502206
chr7|-|8276435|8276524|8276439|8276524|8275539|8275635	"ENSG00000003147.17_2"	"ICA1"	chr7	-	8276435	8276524	8276439	8276524	8275539	8275635
chr2|-|188348850|188349714|188349537|188349714|188332479|188332659	"ENSG00000003436.15_2"	"TFPI"	chr2	-	188348850	188349714	188349537	188349714	188332479	188332659
chr2|+|37458909|37459022|37458909|37458978|37459248|37459409	"ENSG00000003509.15_2"	"NDUFAF7"	chr2	+	37458909	37459022	37458909	37458978	37459248	37459409
chr2|+|37458909|37459022|37458909|37458978|37463238|37463319	"ENSG00000003509.15_2"	"NDUFAF7"	chr2	+	37458909	37459022	37458909	37458978	37463238	37463319
chr2|+|37464899|37465010|37464899|37464978|37468720|37468780	"ENSG00000003509.15_2"	"NDUFAF7"	chr2	+	37464899	37465010	37464899	37464978	37468720	37468780
chr2|+|37464899|37465010|37464899|37464978|37471005|37471116	"ENSG00000003509.15_2"	"NDUFAF7"	chr2	+	37464899	37465010	37464899	37464978	37471005	37471116
chr2|+|37468720|37468934|37468720|37468780|37469777|37469836	"ENSG00000003509.15_2"	"NDUFAF7"	chr2	+	37468720	37468934	37468720	37468780	37469777	37469836
chr2|+|37468720|37468934|37468720|37468780|37471005|37471116	"ENSG00000003509.15_2"	"NDUFAF7"	chr2	+	37468720	37468934	37468720	37468780	37471005	37471116
chr2|+|37468720|37468934|37468720|37468780|37471053|37471116	"ENSG00000003509.15_2"	"NDUFAF7"	chr2	+	37468720	37468934	37468720	37468780	37471053	37471116
chr2|+|37468720|37468934|37468720|37468780|37473194|37473338	"ENSG00000003509.15_2"	"NDUFAF7"	chr2	+	37468720	37468934	37468720	37468780	37473194	37473338
chr2|+|37468720|37469836|37468720|37468780|37471053|37471116	"ENSG00000003509.15_2"	"NDUFAF7"	chr2	+	37468720	37469836	37468720	37468780	37471053	37471116
chr2|+|37468720|37469836|37468720|37468934|37471053|37471116	"ENSG00000003509.15_2"	"NDUFAF7"	chr2	+	37468720	37469836	37468720	37468934	37471053	37471116
chr2|+|37468720|37469836|37468720|37468934|37473194|37473338	"ENSG00000003509.15_2"	"NDUFAF7"	chr2	+	37468720	37469836	37468720	37468934	37473194	37473338
chr3|+|50126386|50126490|50126386|50126462|50127814|50127884	"ENSG00000003756.16_3"	"RBM5"	chr3	+	50126386	50126490	50126386	50126462	50127814	50127884
chr3|+|50126386|50126490|50126386|50126462|50129475|50129641	"ENSG00000003756.16_3"	"RBM5"	chr3	+	50126386	50126490	50126386	50126462	50129475	50129641
chr3|+|50131152|50131308|50131152|50131216|50137414|50137484	"ENSG00000003756.16_3"	"RBM5"	chr3	+	50131152	50131308	50131152	50131216	50137414	50137484
chr3|+|50131152|50131308|50131152|50131216|50144199|50144297	"ENSG00000003756.16_3"	"RBM5"	chr3	+	50131152	50131308	50131152	50131216	50144199	50144297
chr3|+|50131152|50131308|50131152|50131216|50144914|50145002	"ENSG00000003756.16_3"	"RBM5"	chr3	+	50131152	50131308	50131152	50131216	50144914	50145002
chr3|+|50137964|50140599|50137964|50138038|50141680|50141741	"ENSG00000003756.16_3"	"RBM5"	chr3	+	50137964	50140599	50137964	50138038	50141680	50141741
chr3|+|50154506|50154608|50154506|50154604|50154682|50154812	"ENSG00000003756.16_3"	"RBM5"	chr3	+	50154506	50154608	50154506	50154604	50154682	50154812
chr7|+|127229538|127230191|127229538|127229648|127231016|127231142	"ENSG00000004059.10_3"	"ARF5"	chr7	+	127229538	127230191	127229538	127229648	127231016	127231142
chr17|+|26715192|26715558|26715192|26715295|26722923|26723045	"ENSG00000004139.13_3"	"SARM1"	chr17	+	26715192	26715558	26715192	26715295	26722923	26723045
chr3|-|129278455|129278626|129278462|129278626|129277270|129277418	"ENSG00000004399.12_3"	"PLXND1"	chr3	-	129278455	129278626	129278462	129278626	129277270	129277418
chr4|+|15826503|15826639|15826503|15826621|15835839|15835925	"ENSG00000004468.12_2"	"CD38"	chr4	+	15826503	15826639	15826503	15826621	15835839	15835925
chr4|+|15826503|15826639|15826503|15826621|15841648|15841741	"ENSG00000004468.12_2"	"CD38"	chr4	+	15826503	15826639	15826503	15826621	15841648	15841741
chr3|+|50098894|50099541|50098894|50098980|50102463|50102559	"ENSG00000004534.14_3"	"RBM6"	chr3	+	50098894	50099541	50098894	50098980	50102463	50102559
chr3|+|50098894|50099541|50098894|50098980|50106122|50106197	"ENSG00000004534.14_3"	"RBM6"	chr3	+	50098894	50099541	50098894	50098980	50106122	50106197
chr12|-|21654103|21654527|21654414|21654527|21652488|21652549	"ENSG00000004700.15_3"	"RECQL"	chr12	-	21654103	21654527	21654414	21654527	21652488	21652549
chr7|+|92869178|92869263|92869178|92869247|92875414|92875442	"ENSG00000004766.15_2"	"VPS50"	chr7	+	92869178	92869263	92869178	92869247	92875414	92875442
chr7|+|92869178|92869263|92869178|92869247|92881965|92882088	"ENSG00000004766.15_2"	"VPS50"	chr7	+	92869178	92869263	92869178	92869247	92881965	92882088
chr7|+|92869178|92869263|92869178|92869247|92883172|92883244	"ENSG00000004766.15_2"	"VPS50"	chr7	+	92869178	92869263	92869178	92869247	92883172	92883244
chr7|+|92869178|92869263|92869178|92869247|92883175|92883244	"ENSG00000004766.15_2"	"VPS50"	chr7	+	92869178	92869263	92869178	92869247	92883175	92883244
chr7|+|92869178|92869263|92869178|92869247|92900531|92900574	"ENSG00000004766.15_2"	"VPS50"	chr7	+	92869178	92869263	92869178	92869247	92900531	92900574
chr7|+|92869178|92869263|92869178|92869247|92921014|92921147	"ENSG00000004766.15_2"	"VPS50"	chr7	+	92869178	92869263	92869178	92869247	92921014	92921147
chr7|+|92869178|92869263|92869178|92869247|92963428|92963509	"ENSG00000004766.15_2"	"VPS50"	chr7	+	92869178	92869263	92869178	92869247	92963428	92963509
chr7|+|92926053|92926271|92926053|92926148|92926456|92926555	"ENSG00000004766.15_2"	"VPS50"	chr7	+	92926053	92926271	92926053	92926148	92926456	92926555
chr6|-|110777740|110778220|110778102|110778220|110757054|110757164	"ENSG00000004809.13_3"	"SLC22A16"	chr6	-	110777740	110778220	110778102	110778220	110757054	110757164
chr6|-|110777740|110778220|110778102|110778220|110759922|110760050	"ENSG00000004809.13_3"	"SLC22A16"	chr6	-	110777740	110778220	110778102	110778220	110759922	110760050
chr6|-|110777740|110778220|110778102|110778220|110763446|110763978	"ENSG00000004809.13_3"	"SLC22A16"	chr6	-	110777740	110778220	110778102	110778220	110763446	110763978
chr6|-|110777740|110778220|110778102|110778220|110768075|110768193	"ENSG00000004809.13_3"	"SLC22A16"	chr6	-	110777740	110778220	110778102	110778220	110768075	110768193
chr3|-|50382918|50383152|50382965|50383152|50381164|50381281	"ENSG00000004838.13_2"	"ZMYND10"	chr3	-	50382918	50383152	50382965	50383152	50381164	50381281
chr3|-|50382918|50383152|50382965|50383152|50382554|50382667	"ENSG00000004838.13_2"	"ZMYND10"	chr3	-	50382918	50383152	50382965	50383152	50382554	50382667
chr7|+|116759614|116759774|116759614|116759773|116769846|116769901	"ENSG00000004866.20_3"	"ST7"	chr7	+	116759614	116759774	116759614	116759773	116769846	116769901
chr7|+|116849840|116849991|116849840|116849976|116859137|116859230	"ENSG00000004866.20_3"	"ST7"	chr7	+	116849840	116849991	116849840	116849976	116859137	116859230
chr7|+|116849840|116849991|116849840|116849976|116861976|116862116	"ENSG00000004866.20_3"	"ST7"	chr7	+	116849840	116849991	116849840	116849976	116861976	116862116
chr17|-|42336530|42336712|42336629|42336712|42335026|42335175	"ENSG00000004939.13_2"	"SLC4A1"	chr17	-	42336530	42336712	42336629	42336712	42335026	42335175
chr17|-|42336530|42336712|42336629|42336712|42335780|42335991	"ENSG00000004939.13_2"	"SLC4A1"	chr17	-	42336530	42336712	42336629	42336712	42335780	42335991
chr17|-|42340003|42340302|42340219|42340302|42338942|42339004	"ENSG00000004939.13_2"	"SLC4A1"	chr17	-	42340003	42340302	42340219	42340302	42338942	42339004
chr17|-|7133364|7133474|7133376|7133474|7132453|7132593	"ENSG00000004975.11_2"	"DVL2"	chr17	-	7133364	7133474	7133376	7133474	7132453	7132593
